name,address,lat,lng
Giant Tiger,"625 Trunk Rd, Sault Ste. Marie, ON P6A 3T1",46.5202235,-84.2775951
Walmart,"446 Great Northern Rd, Sault Ste. Marie, ON P6B 4Z9",46.540860,-84.315614
Food Basics (Pine Street),"701 Pine St, Sault Ste. Marie, ON P6B 3G2",46.5233722,-84.3090772
Food Basics (Trunk Road),"625 Trunk Rd, Sault Ste. Marie, ON P6A 3T1",46.5204106,-84.2766588
Metro (Second Line),"275 Second Line W, Sault Ste. Marie, ON P6C 2J4",46.5368232,-84.365365
Metro (Northern Ave),"248 Northern Ave E, Sault Ste. Marie, ON P6B 4H6",46.5346217,-84.3227142
Metro (Churchill Blvd),"150 Churchill Blvd, Sault Ste. Marie, ON P6A 3Z9",46.5099941,-84.2980154
Dollarama (Churchill Plaza),"Churchill Plaza, 150 Churchill Blvd, Sault Ste. Marie, ON P6A 3Z9",46.5101745,-84.2979682
Dollarama (Northern Ave),"293 Northern Ave E, Sault Ste. Marie, ON P6B 4H9",46.5336948,-84.3214247
Dollarama (Station Mall),"Station Mall, 293 Bay St, Sault Ste. Marie, ON P6A 1X3",46.5124589,-84.3392506
Dollarama (Market Mall),"Market Mall, 275 Second Line W, Sault Ste. Marie, ON P6C 2J4",46.5369669,-84.3655763
